feature,importance
pm25_who_24h_average,646.5
pm25_who_24h_ratio,338.5
pm25,276.5
pm25_lag_6h,234.0
pm25_mean_6h,181.5
no2_std_3h,168.0
sin_hour,161.0
temperature_humidity_interaction,151.5
cos_hour,148.5
humidity_lag_3h,147.5
pm25_who_24h_coverage,146.5
pm25_cv_6h,144.5
pm25_delta_3h,140.0
hour,136.5
day_of_week,135.0
humidity_std_3h,133.0
pm25_delta_15m,131.0
pm25_std_6h,130.0
pm25_min_3h,129.5
pm25_humidity_interaction,119.5
temperature_lag_3h,118.0
pm25_lag_3h,113.5
pm25_std_1h,113.0
temperature_std_3h,113.0
pm25_delta_1h,113.0
pm25_pct_change_1h,112.0
humidity_mean_3h,103.0
pm25_max_3h,98.0
cos_day_of_week,97.0
pm25_median_3h,93.5
temperature_mean_3h,90.0
temperature_lag_1h,88.5
sin_day_of_week,86.5
pm25_range_3h,86.0
o3_mean_1h,84.5
no2_mean_1h,84.0
o3,82.5
pm25_mean_1h,80.5
humidity_lag_1h,80.0
temperature,76.5
o3_mean_3h,74.5
o3_lag_15m,67.5
pm25_std_3h,67.5
humidity_mean_1h,67.0
no2_mean_3h,62.0
pm25_lag_15m,61.0
temperature_lag_15m,61.0
pm25_mean_3h,61.0
sensor_id,59.5
temperature_mean_1h,59.5
o3_std_3h,59.5
pm25_lag_1h,58.5
humidity_lag_15m,55.5
o3_lag_1h,50.0
humidity,49.0
o3_lag_3h,48.5
no2_lag_1h,40.5
recent_gap_count_3h,33.5
no2,29.0
no2_lag_3h,22.0
recent_anomaly_count_3h,20.0
no2_lag_15m,18.5
pm25_slope_3h,15.5
minute,7.5
is_weekend,3.5
jump_flag,3.0
current_quality_review_flag,2.0
missing_flag,0.0
sampling_gap_flag,0.0
suspicious_value_flag,0.0
flatline_flag,0.0
possible_drift_flag,0.0
recent_missing_pm25_count_3h,0.0
