feature,importance
pm25_who_24h_average,506.5
pm25_who_24h_ratio,306.5
pm25_mean_6h,259.0
pm25_min_3h,222.5
sin_hour,202.5
pm25,195.5
temperature_humidity_interaction,193.0
pm25_who_24h_coverage,190.5
pm25_cv_6h,190.0
hour,187.0
pm25_lag_6h,186.0
temperature_lag_3h,184.5
day_of_week,171.0
humidity_lag_3h,167.5
cos_hour,157.0
pm25_std_6h,146.0
pm25_max_3h,143.5
humidity_std_3h,138.0
cos_day_of_week,137.0
humidity_mean_3h,131.0
temperature,127.5
no2_mean_3h,125.5
pm25_lag_3h,125.0
pm25_humidity_interaction,116.0
temperature_mean_3h,110.5
temperature_lag_1h,108.0
temperature_std_3h,102.5
pm25_median_3h,101.0
sin_day_of_week,96.0
humidity_lag_1h,94.0
o3,92.0
no2_std_3h,89.0
pm25_delta_3h,84.5
pm25_std_3h,83.5
pm25_range_3h,83.0
pm25_mean_1h,80.5
sensor_id,79.5
pm25_delta_15m,79.0
o3_std_3h,75.0
pm25_mean_3h,73.0
temperature_lag_15m,72.5
pm25_delta_1h,71.5
pm25_std_1h,70.5
pm25_pct_change_1h,69.0
humidity_mean_1h,67.0
no2_mean_1h,64.5
o3_lag_15m,62.0
temperature_mean_1h,60.0
o3_mean_1h,60.0
o3_mean_3h,58.0
humidity,57.5
recent_gap_count_3h,54.0
pm25_lag_15m,53.0
humidity_lag_15m,52.0
pm25_lag_1h,42.0
o3_lag_3h,42.0
no2,30.5
o3_lag_1h,30.5
no2_lag_3h,26.5
no2_lag_15m,25.0
pm25_slope_3h,22.5
minute,16.0
no2_lag_1h,15.0
recent_anomaly_count_3h,14.0
jump_flag,5.5
is_weekend,5.5
current_quality_review_flag,0.5
missing_flag,0.0
sampling_gap_flag,0.0
suspicious_value_flag,0.0
flatline_flag,0.0
possible_drift_flag,0.0
recent_missing_pm25_count_3h,0.0
