feature,importance
pm25_who_24h_average,0.27765512466430664
pm25_humidity_interaction,0.18870112299919128
pm25_who_24h_ratio,0.10869107395410538
pm25,0.04940405488014221
pm25_median_3h,0.03936896473169327
sin_day_of_week,0.031685225665569305
pm25_mean_1h,0.02939111366868019
sin_hour,0.025370601564645767
pm25_min_3h,0.021438391879200935
day_of_week,0.018485751003026962
cos_day_of_week,0.013595188036561012
pm25_lag_6h,0.012781000696122646
hour,0.012777650728821754
pm25_mean_6h,0.012755924835801125
temperature_lag_15m,0.010527457110583782
no2_mean_1h,0.00942312367260456
pm25_mean_3h,0.009224774315953255
cos_hour,0.007910363376140594
pm25_who_24h_coverage,0.005714863073080778
temperature_lag_1h,0.005615444388240576
is_weekend,0.005308790598064661
no2_mean_3h,0.004853593651205301
temperature_humidity_interaction,0.00478016072884202
o3_mean_1h,0.0040690042078495026
humidity_mean_1h,0.0037915902212262154
temperature_lag_3h,0.0037813466042280197
temperature_mean_1h,0.0036831891629844904
o3_mean_3h,0.003641214920207858
recent_gap_count_3h,0.003605540841817856
pm25_max_3h,0.0035521965473890305
temperature_mean_3h,0.0035404080990701914
temperature,0.003506486536934972
humidity_lag_3h,0.003456502454355359
pm25_std_6h,0.0032550585456192493
o3_std_3h,0.003046296536922455
pm25_cv_6h,0.002961829537525773
pm25_lag_15m,0.002955138683319092
o3_lag_15m,0.0028244927525520325
humidity_mean_3h,0.0026871636509895325
no2_std_3h,0.0025866481009870768
humidity_lag_1h,0.0022708128672093153
humidity_std_3h,0.002228697994723916
pm25_lag_3h,0.002216774970293045
sensor_id,0.002213056432083249
no2,0.0021792033221572638
recent_anomaly_count_3h,0.0020850887522101402
o3,0.0019621597602963448
pm25_lag_1h,0.0016479541081935167
humidity,0.0016393969999626279
o3_lag_3h,0.0015943304169923067
pm25_delta_3h,0.0015227535041049123
o3_lag_1h,0.001502560218796134
pm25_pct_change_1h,0.0014873301843181252
no2_lag_3h,0.0014514634385704994
temperature_std_3h,0.001416998915374279
pm25_std_3h,0.001379339024424553
pm25_range_3h,0.0012843366712331772
pm25_std_1h,0.0011004549451172352
no2_lag_15m,0.0010516467737033963
humidity_lag_15m,0.0009812182979658246
pm25_delta_1h,0.0008884050766937435
no2_lag_1h,0.0008186912164092064
pm25_slope_3h,0.0007597221992909908
pm25_delta_15m,0.0006614121957682073
jump_flag,0.00044117181096225977
minute,0.00028260151157155633
recent_missing_pm25_count_3h,0.0002693521964829415
sampling_gap_flag,0.00020856264745816588
current_quality_review_flag,4.743381214211695e-05
suspicious_value_flag,3.2256648410111666e-06
missing_flag,0.0
flatline_flag,0.0
possible_drift_flag,0.0
