feature,importance
pm25_who_24h_average,0.25821787118911743
pm25_who_24h_ratio,0.1483861207962036
pm25_humidity_interaction,0.1432454138994217
pm25,0.12773607671260834
pm25_lag_15m,0.03856635466217995
sin_day_of_week,0.03417234122753143
pm25_lag_6h,0.02150312066078186
day_of_week,0.021482117474079132
pm25_mean_1h,0.01979890652000904
sin_hour,0.009228469803929329
pm25_max_3h,0.008769255131483078
pm25_median_3h,0.008765367791056633
pm25_mean_6h,0.007772653363645077
no2_std_3h,0.0074814558029174805
temperature_humidity_interaction,0.007103695534169674
pm25_mean_3h,0.007102257572114468
no2_mean_1h,0.006723708473145962
pm25_who_24h_coverage,0.006013805978000164
cos_day_of_week,0.005987162701785564
pm25_min_3h,0.005495843477547169
hour,0.004717712756246328
pm25_std_6h,0.00436831871047616
is_weekend,0.0040296753868460655
o3_mean_3h,0.003848304506391287
temperature_lag_3h,0.0036225197836756706
cos_hour,0.0034391938243061304
current_quality_review_flag,0.002988450927659869
no2_lag_1h,0.002843111287802458
recent_gap_count_3h,0.002827744698151946
o3_lag_3h,0.0027475038077682257
humidity_mean_3h,0.0026547666639089584
temperature_mean_1h,0.0025783346500247717
o3_mean_1h,0.0025259554386138916
pm25_delta_1h,0.0025006961077451706
sensor_id,0.0024669005069881678
pm25_lag_1h,0.002463697921484709
temperature,0.002414659596979618
temperature_mean_3h,0.002413200680166483
pm25_pct_change_1h,0.0024113235995173454
no2_lag_15m,0.002383550861850381
pm25_lag_3h,0.002326111774891615
no2_mean_3h,0.0022340654395520687
temperature_lag_15m,0.002156907692551613
temperature_lag_1h,0.002148569794371724
no2,0.002133516129106283
pm25_delta_15m,0.0020272834226489067
humidity,0.0020216586999595165
pm25_std_1h,0.0019728124607354403
pm25_cv_6h,0.0019649644382297993
humidity_lag_3h,0.0018969218945130706
o3_lag_1h,0.0018692673183977604
humidity_lag_1h,0.0018640821799635887
humidity_std_3h,0.0018505501793697476
pm25_delta_3h,0.0018182083731517196
humidity_mean_1h,0.0017427130369469523
recent_anomaly_count_3h,0.0016663451679050922
pm25_range_3h,0.0016222103731706738
o3,0.001621074741706252
o3_lag_15m,0.0015772465849295259
temperature_std_3h,0.001556883566081524
pm25_slope_3h,0.0014212221140041947
pm25_std_3h,0.0013041408965364099
humidity_lag_15m,0.0012530252570286393
o3_std_3h,0.0012119677849113941
no2_lag_3h,0.001148328767158091
jump_flag,0.000883513072039932
recent_missing_pm25_count_3h,0.0005140334833413363
minute,0.00039220848702825606
suspicious_value_flag,1.612482947166427e-06
sampling_gap_flag,1.0021553862316068e-06
missing_flag,0.0
flatline_flag,0.0
possible_drift_flag,0.0
