horizon,base_models,meta_model,aligned_rows,train_rows,validation_rows,validation_rmse,validation_mae,validation_r2
3h,tft + lightgbm + gru + random_forest,gradient_boosting,1222,916,306,3.486813660181086,2.4333566528494868,0.4665905040957532
3h,tft + lightgbm + gru + random_forest + xgboost,gradient_boosting,1222,916,306,3.516415568361414,2.483836730611595,0.4574951143355782
3h,tft + lightgbm + gru + random_forest,hist_gradient_boosting,1222,916,306,3.5194874114658035,2.466794853854063,0.4565468658937276
3h,tft + lightgbm + gru + random_forest,xgboost_meta,1222,916,306,3.522832642647195,2.508275557748633,0.4555132833632507
3h,tft + lightgbm + gru + random_forest + xgboost,xgboost_meta,1222,916,306,3.5745247661040422,2.563419432421915,0.4394170479830797
3h,tft + lightgbm + gru + random_forest,lightgbm_meta,1222,916,306,3.5801045095017083,2.558680575221239,0.43766557022090813
3h,tft + lightgbm + gru + random_forest + xgboost,lightgbm_meta,1222,916,306,3.608405308931889,2.58071976554149,0.4287398999525863
3h,tft + lightgbm + gru,xgboost_meta,1222,916,306,3.633650660098973,2.6586181011075287,0.42071856672574925
3h,tft + lightgbm + gru,gradient_boosting,1222,916,306,3.648923975386125,2.6364496648190445,0.415838547572255
3h,tft + lightgbm + gru,lightgbm_meta,1222,916,306,3.658692785713625,2.6174103802662,0.4127065551257856
3h,tft + lightgbm + gru + random_forest + xgboost,hist_gradient_boosting,1222,916,306,3.72009831584449,2.629177084307478,0.39282748957309865
3h,tft + lightgbm + gru,hist_gradient_boosting,1222,916,306,3.7533447533178967,2.6082997141034703,0.3819264200068603
3h,tft + lightgbm + gru + random_forest,random_forest_meta,1222,916,306,3.8440902255683698,2.840166426398261,0.35167852043486003
3h,tft + lightgbm + gru + random_forest + xgboost,random_forest_meta,1222,916,306,3.944418895980514,2.987993162541422,0.317395217587926
3h,tft + lightgbm + gru,random_forest_meta,1222,916,306,3.9990385234860617,3.08388478322894,0.2983598366990754
6h,tft + gru + random_forest,nonnegative_linear,1222,916,306,3.7255860114975916,2.3929375576142133,0.23894761963659306
6h,tft + gru + random_forest + lightgbm,nonnegative_linear,1222,916,306,3.7301795205540356,2.4015606464997186,0.23706976409986902
6h,tft + gru + random_forest + lightgbm + xgboost,nonnegative_linear,1222,916,306,3.7301795205540356,2.4015606464997186,0.23706976409986902
6h,tft + gru + random_forest,elasticnet,1222,916,306,3.787772697349075,2.4589746841897977,0.21332893095308092
6h,tft + gru + random_forest,linear_regression,1222,916,306,3.789705470670802,2.460374838441228,0.21252590242111413
6h,tft + gru + random_forest,ridge_0.1,1222,916,306,3.7897082807941325,2.4603878136196893,0.21252473457302068
6h,tft + gru + random_forest,ridge_1.0,1222,916,306,3.7897335879894416,2.460504580349376,0.21251421721632324
6h,tft + gru + random_forest,ridge_10.0,1222,916,306,3.7899882476117748,2.461671270058306,0.21240837992445283
6h,tft + gru + random_forest + lightgbm + xgboost,elasticnet,1222,916,306,3.8053956195348846,2.4946138085815694,0.20599179932081146
6h,tft + gru + random_forest + lightgbm + xgboost,linear_regression,1222,916,306,3.8073013761393586,2.4968469790230468,0.2051963155243688
6h,tft + gru + random_forest + lightgbm + xgboost,ridge_0.1,1222,916,306,3.8073073214047093,2.4968633099904776,0.2051938332819464
6h,tft + gru + random_forest + lightgbm + xgboost,ridge_1.0,1222,916,306,3.807360847697978,2.4970102968171943,0.20517148503241833
6h,tft + gru + random_forest + lightgbm + xgboost,ridge_10.0,1222,916,306,3.807897957563649,2.4984809219479027,0.2049472140129882
6h,tft + gru + random_forest + lightgbm,elasticnet,1222,916,306,3.817443066936084,2.5065406107286177,0.20095636276601658
6h,tft + gru + random_forest + lightgbm,linear_regression,1222,916,306,3.820494604122283,2.5096398840455776,0.1996783943027266
6h,tft + gru + random_forest + lightgbm,ridge_0.1,1222,916,306,3.8204999671419153,2.509656950736208,0.19967614739810258
6h,tft + gru + random_forest + lightgbm,ridge_1.0,1222,916,306,3.8205482455909427,2.5098105289493535,0.1996559203918017
6h,tft + gru + random_forest + lightgbm,ridge_10.0,1222,916,306,3.821032142214808,2.511344136700252,0.19945317026321885
6h,tft + gru + random_forest,gradient_boosting,1222,916,306,3.8590808593742967,2.621069887725341,0.1834305703296799
6h,tft + gru + random_forest,lightgbm_meta,1222,916,306,3.8925328610282155,2.5410188374359075,0.1692125348892325
6h,tft + gru + random_forest + lightgbm,gradient_boosting,1222,916,306,3.9422307840503543,2.704270800929722,0.14786294688537227
6h,tft + gru + random_forest + lightgbm + xgboost,gradient_boosting,1222,916,306,3.9575661471584582,2.73613172667512,0.14122038894413136
6h,tft + gru + random_forest,xgboost_meta,1222,916,306,4.0366571904861495,2.9068953414368477,0.10655237665800521
6h,tft + gru + random_forest + lightgbm + xgboost,lightgbm_meta,1222,916,306,4.065023728585194,2.806616763921626,0.09395132384459515
6h,tft + gru + random_forest + lightgbm + xgboost,hist_gradient_boosting,1222,916,306,4.085551121892739,2.6521283103931075,0.08477756321908247
6h,tft + gru + random_forest,hist_gradient_boosting,1222,916,306,4.094582857123434,2.673679009842199,0.08072661236364975
6h,tft + gru + random_forest + lightgbm + xgboost,xgboost_meta,1222,916,306,4.0976580880413005,2.925281165877199,0.07934525575600793
6h,tft + gru + random_forest + lightgbm,hist_gradient_boosting,1222,916,306,4.116212283154167,2.6613878623472127,0.0709889307271655
6h,tft + gru + random_forest + lightgbm,lightgbm_meta,1222,916,306,4.123644890436837,2.8909400721513783,0.0676308879010541
6h,tft + gru + random_forest + lightgbm,xgboost_meta,1222,916,306,4.134556208986762,2.9784989553962657,0.06269019284800381
6h,tft + gru + random_forest + lightgbm,random_forest_meta,1222,916,306,4.198997509372911,3.227565038527311,0.03324462764368419
6h,tft + gru + random_forest + lightgbm + xgboost,random_forest_meta,1222,916,306,4.45978583229729,3.599369134214793,-0.09056954916297921
6h,tft + gru + random_forest,random_forest_meta,1222,916,306,4.476188793431507,3.5900188831636357,-0.09860646726624545
