timestamp,sensor_id,current_pm25,history_count,city,forecast_1h,model_1h,status_1h,forecast_3h,model_3h,status_3h,forecast_6h,model_6h,status_6h
2026-08-20 02:00:00+00:00,4,11.55,9,Nablus,13.097407189949468,lightgbm,ok,12.622824668884276,tft,ok,16.642252509128816,lightgbm,ok
2026-08-20 02:00:00+00:00,5,16.93,9,Nablus,19.434708094992285,lightgbm,ok,19.411684036254883,tft,ok,16.47199630432357,lightgbm,ok
2026-08-20 02:15:00+00:00,1,16.27,10,Tulkarem,16.891207113452445,lightgbm,ok,13.071515083312988,tft,ok,15.662986549198754,lightgbm,ok
2026-08-20 02:15:00+00:00,2,12.71,10,Nablus,13.1664459661988,lightgbm,ok,13.274032592773438,tft,ok,16.825682014199963,lightgbm,ok
2026-08-20 02:15:00+00:00,4,11.79,10,Nablus,13.23744543848881,lightgbm,ok,13.151603698730469,tft,ok,16.53984396355363,lightgbm,ok
2026-08-20 02:15:00+00:00,5,40.86,10,Nablus,19.78570830018414,lightgbm,ok,19.521055221557617,tft,ok,16.459197825400892,lightgbm,ok
2026-08-20 02:30:00+00:00,1,14.61,11,Tulkarem,18.97866836245645,lightgbm,ok,12.4297513961792,tft,ok,15.288530995807925,lightgbm,ok
2026-08-20 02:30:00+00:00,2,12.89,11,Nablus,13.63454797023609,lightgbm,ok,13.524879455566406,tft,ok,16.819774506525025,lightgbm,ok
2026-08-20 02:30:00+00:00,4,11.91,11,Nablus,13.417039929968965,lightgbm,ok,13.43423080444336,tft,ok,16.714494550444854,lightgbm,ok
2026-08-20 02:30:00+00:00,5,19.4,11,Nablus,17.73322168727845,lightgbm,ok,19.159406661987305,tft,ok,16.213718562714977,lightgbm,ok
2026-08-20 02:45:00+00:00,1,14.47,12,Tulkarem,19.69324474373965,lightgbm,ok,10.746896743774414,tft,ok,15.10369980966141,lightgbm,ok
2026-08-20 02:45:00+00:00,2,12.33,12,Nablus,13.094541150667622,lightgbm,ok,13.855764389038086,tft,ok,16.98622626043906,lightgbm,ok
2026-08-20 02:45:00+00:00,4,12.22,12,Nablus,13.525756516930702,lightgbm,ok,13.55618953704834,tft,ok,16.74186931635567,lightgbm,ok
2026-08-20 02:45:00+00:00,5,32.19,12,Nablus,14.989576432196298,lightgbm,ok,14.21144676208496,tft,ok,16.248492573712376,lightgbm,ok
2026-08-20 03:00:00+00:00,1,13.76,13,Tulkarem,19.121757835133327,lightgbm,ok,10.758641242980955,tft,ok,13.953759288502942,lightgbm,ok
2026-08-20 03:00:00+00:00,2,12.05,13,Nablus,13.671266838802572,lightgbm,ok,14.224010467529297,tft,ok,16.590598220375124,lightgbm,ok
2026-08-20 03:00:00+00:00,4,11.38,13,Nablus,13.45867769089537,lightgbm,ok,13.98873233795166,tft,ok,15.562895380744438,lightgbm,ok
2026-08-20 03:00:00+00:00,5,14.88,13,Nablus,16.803274549171686,lightgbm,ok,13.66282081604004,tft,ok,14.873871397677505,lightgbm,ok
2026-08-20 03:15:00+00:00,1,14.21,14,Tulkarem,20.605320205973182,lightgbm,ok,10.415645599365234,tft,ok,14.45256243533854,lightgbm,ok
2026-08-20 03:15:00+00:00,2,12.24,14,Nablus,13.620207516698896,lightgbm,ok,14.516443252563477,tft,ok,16.267653077963413,lightgbm,ok
2026-08-20 03:15:00+00:00,4,11.45,14,Nablus,12.98112472337929,lightgbm,ok,14.152523040771484,tft,ok,16.287173947953704,lightgbm,ok
2026-08-20 03:15:00+00:00,5,13.86,14,Nablus,22.43741300632344,lightgbm,ok,16.385560989379883,tft,ok,16.058821030594242,lightgbm,ok
2026-08-20 03:30:00+00:00,1,12.38,15,Tulkarem,20.889161760638103,lightgbm,ok,13.983565330505373,tft,ok,14.827432622415913,lightgbm,ok
2026-08-20 03:30:00+00:00,2,14.38,15,Nablus,13.803507419281727,lightgbm,ok,14.996146202087402,tft,ok,16.928404872884613,lightgbm,ok
