sensor_id,city,feature,pattern_type,period,mean,median,std,min,max,count
1,Tulkarem,pm25,daily,2026-08-23 00:00:00+00:00,18.37,18.27,0.19078784028338916,18.25,18.59,3
1,Tulkarem,pm25,weekly,2026-08-03/2026-08-09,17.159343832021,16.49,4.142966244751777,8.65,29.7,381
1,Tulkarem,pm25,weekly,2026-08-10/2026-08-16,19.52478325859492,19.71,6.8995320388883945,5.02,59.44,669
1,Tulkarem,pm25,weekly,2026-08-17/2026-08-23,16.184679376083192,15.78,5.195306770579059,5.37,48.39,577
1,Tulkarem,temperature,hour,0,24.225000000000005,24.25,0.48555884432718127,23.39,25.17,70
1,Tulkarem,temperature,hour,1,23.986716417910447,23.96,0.6053909031654333,22.84,25.06,67
1,Tulkarem,temperature,hour,2,23.734411764705882,23.625,0.6197938568057548,22.62,24.94,68
1,Tulkarem,temperature,hour,3,23.62838235294118,23.515,0.6636862464401262,22.48,24.88,68
1,Tulkarem,temperature,hour,4,24.30691176470588,24.26,0.6844569856701442,23.01,25.98,68
1,Tulkarem,temperature,hour,5,25.51970588235294,25.515,0.6659209100729186,24.09,26.87,68
1,Tulkarem,temperature,hour,6,26.898970588235294,26.98,0.7862781014713432,24.78,28.43,68
1,Tulkarem,temperature,hour,7,28.36441176470588,28.4,0.8443815759653187,26.34,30.1,68
1,Tulkarem,temperature,hour,8,29.645588235294124,29.85,0.9352043153778307,27.3,31.34,68
1,Tulkarem,temperature,hour,9,30.219402985074623,30.31,0.885102083817925,27.44,31.66,67
1,Tulkarem,temperature,hour,10,30.468235294117648,30.58,0.8681889559383631,28.4,31.93,68
1,Tulkarem,temperature,hour,11,30.47867647058823,30.4,0.8637991481781674,28.19,32.1,68
1,Tulkarem,temperature,hour,12,30.34205882352941,30.395000000000003,0.8525581502004552,28.43,32.04,68
1,Tulkarem,temperature,hour,13,29.96323529411765,30.015,0.725533136300515,28.62,31.66,68
1,Tulkarem,temperature,hour,14,29.82235294117647,29.695,1.030031324907028,28.06,32.74,68
1,Tulkarem,temperature,hour,15,30.941791044776124,30.63,1.5429378955795852,27.93,33.76,67
1,Tulkarem,temperature,hour,16,27.120454545454546,26.975,1.3080877785392064,24.79,30.75,66
1,Tulkarem,temperature,hour,17,25.84470588235294,25.994999999999997,0.6992244543612745,24.24,27.08,68
1,Tulkarem,temperature,hour,18,25.572835820895524,25.71,0.6805986802410853,24.06,26.75,67
1,Tulkarem,temperature,hour,19,25.348088235294114,25.4,0.6000528766574649,23.95,26.36,68
1,Tulkarem,temperature,hour,20,25.194852941176475,25.36,0.557618851924028,23.86,26.15,68
1,Tulkarem,temperature,hour,21,25.010735294117644,25.11,0.4770097035105218,23.77,25.77,68
1,Tulkarem,temperature,hour,22,24.776911764705883,24.835,0.43664001140644276,23.87,25.72,68
1,Tulkarem,temperature,hour,23,24.42647058823529,24.44,0.40286201743548145,23.59,25.36,68
1,Tulkarem,temperature,day_of_week,Monday,26.61623036649215,25.49,2.7787462961254517,22.94,33.76,191
1,Tulkarem,temperature,day_of_week,Tuesday,26.78453125,25.880000000000003,2.987519202166158,22.8,33.52,192
1,Tulkarem,temperature,day_of_week,Wednesday,26.682722513089004,25.47,2.986405852748852,22.6,33.24,191
1,Tulkarem,temperature,day_of_week,Thursday,26.66825783972125,25.64,2.665483811106764,22.48,32.18,287
1,Tulkarem,temperature,day_of_week,Friday,27.103986013986017,26.310000000000002,2.455965066286825,23.21,31.77,286
1,Tulkarem,temperature,day_of_week,Saturday,27.260801393728226,26.16,2.509899641154877,23.78,33.09,287
1,Tulkarem,temperature,day_of_week,Sunday,27.05443298969072,25.895000000000003,2.6483526873560947,23.96,33.32,194
1,Tulkarem,temperature,day_type,Weekday,26.7901133391456,25.92,2.7485969902328713,22.48,33.76,1147
1,Tulkarem,temperature,day_type,Weekend,27.177567567567568,26.11,2.5659112473503987,23.78,33.32,481
1,Tulkarem,temperature,daily,2026-08-06 00:00:00+00:00,26.6540625,25.165,2.734703901271869,23.39,31.05,96
1,Tulkarem,temperature,daily,2026-08-07 00:00:00+00:00,26.818526315789477,26.01,2.5937723978714256,23.21,31.77,95
1,Tulkarem,temperature,daily,2026-08-08 00:00:00+00:00,26.98368421052632,26.17,2.419657111558164,23.78,31.06,95
1,Tulkarem,temperature,daily,2026-08-09 00:00:00+00:00,27.392947368421055,26.24,2.886545779951123,24.07,33.32,95
1,Tulkarem,temperature,daily,2026-08-10 00:00:00+00:00,27.046631578947373,25.77,3.2994050432491147,22.94,33.76,95
1,Tulkarem,temperature,daily,2026-08-11 00:00:00+00:00,27.44875,26.16,3.2910108029696836,22.97,33.52,96
1,Tulkarem,temperature,daily,2026-08-12 00:00:00+00:00,27.41208333333333,26.005000000000003,3.1777234209966854,23.15,33.24,96
1,Tulkarem,temperature,daily,2026-08-13 00:00:00+00:00,27.125789473684208,26.51,2.6540529340018373,23.44,32.18,95
1,Tulkarem,temperature,daily,2026-08-14 00:00:00+00:00,27.007291666666664,26.355,2.3617176974516108,23.7,31.31,96
1,Tulkarem,temperature,daily,2026-08-15 00:00:00+00:00,27.568645833333335,26.240000000000002,2.7277986574068986,24.57,33.09,96
1,Tulkarem,temperature,daily,2026-08-16 00:00:00+00:00,26.806249999999995,25.54,2.363019589200938,23.96,30.66,96
1,Tulkarem,temperature,daily,2026-08-17 00:00:00+00:00,26.1903125,25.08,2.074323455021572,23.62,30.19,96
1,Tulkarem,temperature,daily,2026-08-18 00:00:00+00:00,26.1203125,25.175,2.494409519041372,22.8,31.69,96
1,Tulkarem,temperature,daily,2026-08-19 00:00:00+00:00,25.945684210526316,24.59,2.5941003657774617,22.6,30.59,95
1,Tulkarem,temperature,daily,2026-08-20 00:00:00+00:00,26.2296875,25.23,2.5567238301038797,22.48,30.86,96
1,Tulkarem,temperature,daily,2026-08-21 00:00:00+00:00,27.487157894736843,26.51,2.383864046868648,24.48,31.5,95
1,Tulkarem,temperature,daily,2026-08-22 00:00:00+00:00,27.2271875,25.810000000000002,2.3574141511968487,24.4,31.09,96
1,Tulkarem,temperature,daily,2026-08-23 00:00:00+00:00,24.276666666666667,24.28,0.10503967504392353,24.17,24.38,3
1,Tulkarem,temperature,weekly,2026-08-03/2026-08-09,26.961496062992126,26.11,2.6681261151661904,23.21,33.32,381
1,Tulkarem,temperature,weekly,2026-08-10/2026-08-16,27.202552238805968,26.134999999999998,2.8634575501501973,22.94,33.76,670
1,Tulkarem,temperature,weekly,2026-08-17/2026-08-23,26.52102253032929,25.69,2.4765392578499656,22.48,31.69,577
1,Tulkarem,humidity,hour,0,61.024285714285725,60.955,2.5408600457830666,54.34,65.85,70
1,Tulkarem,humidity,hour,1,61.28820895522387,61.51,2.502566516158437,55.32,65.64,67
1,Tulkarem,humidity,hour,2,61.52000000000001,62.025000000000006,3.0213958422922502,54.8,67.08,68
1,Tulkarem,humidity,hour,3,61.407352941176484,62.33,3.3919142737895798,52.45,66.39,68
1,Tulkarem,humidity,hour,4,59.10176470588235,60.285,4.412419359096185,46.29,66.4,68
1,Tulkarem,humidity,hour,5,56.08176470588235,57.16,4.0162431175952555,43.72,61.64,68
1,Tulkarem,humidity,hour,6,51.9414705882353,52.455,3.040244130371172,44.42,58.7,68
1,Tulkarem,humidity,hour,7,46.987058823529416,47.255,3.219988902745098,38.39,53.53,68
1,Tulkarem,humidity,hour,8,43.92558823529412,44.644999999999996,2.715717866313024,37.48,49.09,68
1,Tulkarem,humidity,hour,9,43.24850746268657,43.9,3.0154984781812044,35.19,46.86,67
1,Tulkarem,humidity,hour,10,42.60852941176471,42.945,3.2347424934795095,34.75,48.37,68
1,Tulkarem,humidity,hour,11,42.41838235294117,43.08,3.522058679829389,29.79,47.3,68
1,Tulkarem,humidity,hour,12,42.47176470588235,43.010000000000005,4.286038403647558,29.04,47.88,68
1,Tulkarem,humidity,hour,13,43.64235294117646,44.644999999999996,3.517396475111322,32.08,48.61,68
1,Tulkarem,humidity,hour,14,44.40661764705882,44.83,3.920875477280635,32.96,49.72,68
1,Tulkarem,humidity,hour,15,43.71776119402985,43.69,4.280773726755878,32.11,51.16,67
1,Tulkarem,humidity,hour,16,52.95151515151515,53.655,3.9205875707305533,43.74,62.12,66
1,Tulkarem,humidity,hour,17,57.36691176470588,57.150000000000006,2.6479759983090325,51.46,63.46,68
1,Tulkarem,humidity,hour,18,58.8523880597015,58.84,2.4883291762852116,52.92,62.97,67
1,Tulkarem,humidity,hour,19,59.86882352941176,59.835,2.4664328761538252,52.96,64.24,68
1,Tulkarem,humidity,hour,20,60.21529411764706,60.335,2.5777813384035495,52.89,65.25,68
1,Tulkarem,humidity,hour,21,60.459701492537306,60.67,2.5935590208035904,52.63,65.91,67
1,Tulkarem,humidity,hour,22,60.88411764705882,60.989999999999995,2.768397475610667,52.86,66.83,68
1,Tulkarem,humidity,hour,23,61.17911764705882,61.38,2.5881213928565145,53.46,65.54,68
1,Tulkarem,humidity,day_of_week,Monday,52.00926701570681,52.92,9.62982852155962,32.11,67.08,191
1,Tulkarem,humidity,day_of_week,Tuesday,50.022760416666664,53.035,9.141225196841361,29.04,61.88,192
1,Tulkarem,humidity,day_of_week,Wednesday,50.897277486911,53.92,8.795148897424017,35.55,61.91,191
1,Tulkarem,humidity,day_of_week,Thursday,53.803658536585374,56.52,7.2857830855515004,39.38,63.46,287
1,Tulkarem,humidity,day_of_week,Friday,54.17832167832167,57.040000000000006,7.475254192569534,39.17,65.92,286
1,Tulkarem,humidity,day_of_week,Saturday,54.80926573426573,58.685,7.972470427798398,39.79,64.92,286
1,Tulkarem,humidity,day_of_week,Sunday,55.4209793814433,59.21,8.123596320014746,42.15,66.83,194
1,Tulkarem,humidity,day_type,Weekday,52.48140366172624,54.8,8.479119731063117,29.04,67.08,1147
1,Tulkarem,humidity,day_type,Weekend,55.0565,59.11,8.03106553401795,39.79,66.83,480
1,Tulkarem,humidity,daily,2026-08-06 00:00:00+00:00,52.90395833333334,56.815,7.970465941496859,39.38,62.97,96
1,Tulkarem,humidity,daily,2026-08-07 00:00:00+00:00,52.18463157894736,55.07,7.79783505286936,39.17,61.1,95
1,Tulkarem,humidity,daily,2026-08-08 00:00:00+00:00,54.45747368421053,57.55,7.3577100924914935,42.46,63.31,95
1,Tulkarem,humidity,daily,2026-08-09 00:00:00+00:00,55.35252631578946,59.18,8.872109534512365,42.15,66.83,95
1,Tulkarem,humidity,daily,2026-08-10 00:00:00+00:00,52.9718947368421,57.13,11.463813213458124,32.11,67.08,95
1,Tulkarem,humidity,daily,2026-08-11 00:00:00+00:00,48.95708333333332,52.605000000000004,11.109383318586962,29.04,61.88,96
1,Tulkarem,humidity,daily,2026-08-12 00:00:00+00:00,49.520520833333336,49.415,9.718093528626918,35.55,61.55,96
1,Tulkarem,humidity,daily,2026-08-13 00:00:00+00:00,53.083052631578944,55.54,6.446524888302093,41.44,62.63,95
1,Tulkarem,humidity,daily,2026-08-14 00:00:00+00:00,55.19947916666666,58.81,7.443422298603706,42.87,65.92,96
1,Tulkarem,humidity,daily,2026-08-15 00:00:00+00:00,54.3857894736842,58.4,8.53010707809215,39.79,63.5,95
1,Tulkarem,humidity,daily,2026-08-16 00:00:00+00:00,55.234791666666666,58.67,7.352389511926563,43.7,65.13,96
1,Tulkarem,humidity,daily,2026-08-17 00:00:00+00:00,51.05666666666667,52.665,7.320374834617299,40.06,63.23,96
1,Tulkarem,humidity,daily,2026-08-18 00:00:00+00:00,51.088437500000005,53.7,6.503072687199491,40.08,59.02,96
