scope_type,scope_value,feature_a,feature_b,n_observations,correlation,absolute_correlation,pearson_correlation,spearman_minus_pearson
city,Tulkarem,pm25,aqi,1627,0.9945948936306795,0.9945948936306795,0.8671106656914116,0.12748422793926795
sensor,1,pm25,aqi,1627,0.9945948936306795,0.9945948936306795,0.8671106656914116,0.12748422793926795
sensor,4,pm25,aqi,1597,0.9617450850687664,0.9617450850687664,0.8519216146247541,0.1098234704440123
global,All sensors,pm25,aqi,5635,0.9554601026700489,0.9554601026700489,0.8146184731122149,0.14084162955783397
city,Nablus,pm25,aqi,4008,0.9368331369182126,0.9368331369182126,0.8056747594859149,0.13115837743229763
sensor,2,pm25,aqi,1582,0.9262877693267016,0.9262877693267016,0.7858697065426276,0.1404180627840741
sensor,5,pm25,aqi,829,0.8925719999415984,0.8925719999415984,0.7345603270629711,0.15801167287862727
sensor,5,temperature,humidity,829,-0.871073395812091,0.871073395812091,-0.9565764037865233,-0.08550300797443233
city,Nablus,temperature,humidity,4008,-0.8650359174788739,0.8650359174788739,-0.8028503038464804,0.0621856136323935
sensor,4,temperature,humidity,1597,-0.8528549242299134,0.8528549242299134,-0.7849990273601547,0.06785589686975868
sensor,2,temperature,humidity,1582,-0.8359332842824405,0.8359332842824405,-0.7761041168650554,0.05982916741738509
sensor,1,temperature,humidity,1627,-0.8232816867326644,0.8232816867326644,-0.9013228513312944,-0.07804116459862998
city,Tulkarem,temperature,humidity,1627,-0.8232816867326644,0.8232816867326644,-0.9013228513312944,-0.07804116459862998
sensor,4,pm25,humidity,1597,0.7836079232456575,0.7836079232456575,0.7341912594255933,0.049416663820064266
sensor,2,pm25,humidity,1582,0.7757037038844499,0.7757037038844499,0.7383005147859452,0.03740318909850471
city,Nablus,pm25,humidity,4008,0.7617618707398975,0.7617618707398975,0.7139522564829454,0.04780961425695218
sensor,4,humidity,aqi,1597,0.7601354458148044,0.7601354458148044,0.7276547195170705,0.03248072629773391
sensor,5,pm25,humidity,829,0.7212312007552927,0.7212312007552927,0.6290065382543151,0.0922246625009776
city,Nablus,humidity,aqi,4008,0.7104494886206932,0.7104494886206932,0.6899638704346649,0.020485618186028343
sensor,2,humidity,aqi,1582,0.706414352819921,0.706414352819921,0.6898177502940276,0.016596602525893456
global,All sensors,pm25,humidity,5635,0.7023017977119609,0.7023017977119609,0.6655564675868004,0.03674533012516046
global,All sensors,temperature,humidity,5635,-0.6994676967618908,0.6994676967618908,-0.7160242734616313,-0.016556576699740533
city,Tulkarem,no2,o3,1628,-0.6908184146269126,0.6908184146269126,-0.6763142357506958,0.0145041788762168
sensor,1,no2,o3,1628,-0.6908184146269126,0.6908184146269126,-0.6763142357506958,0.0145041788762168
global,All sensors,no2,o3,1628,-0.6908184146269126,0.6908184146269126,-0.6763142357506958,0.0145041788762168
global,All sensors,humidity,aqi,5635,0.657581070710765,0.657581070710765,0.6305753358273464,0.02700573488341862
