feature,target,association_method,score,signed_score,n_observations,notes
no2_lag_15m,target_pm25_3h,absolute_pearson,0.16475193374688438,0.16475193374688438,1569,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
no2_lag_1h,target_pm25_3h,absolute_pearson,0.15333773469839834,0.15333773469839834,1569,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_delta_1h,target_pm25_3h,absolute_pearson,0.14808999273619314,0.14808999273619314,5378,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_pct_change_1h,target_pm25_3h,absolute_pearson,0.1436840497585509,0.1436840497585509,5378,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
temperature_lag_1h,target_pm25_3h,absolute_pearson,0.13444187221444884,-0.13444187221444884,5379,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_std_1h,target_pm25_3h,absolute_pearson,0.13365553979948824,0.13365553979948824,5405,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
temperature_mean_3h,target_pm25_3h,absolute_pearson,0.11058569425299078,-0.11058569425299078,5405,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
no2_std_3h,target_pm25_3h,absolute_pearson,0.09996700909459796,-0.09996700909459796,1576,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
o3,target_pm25_3h,absolute_pearson,0.08554878675256113,-0.08554878675256113,1576,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
no2_lag_3h,target_pm25_3h,absolute_pearson,0.08466042924848857,0.08466042924848857,1570,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
o3_mean_1h,target_pm25_3h,absolute_pearson,0.08322009024313344,-0.08322009024313344,1576,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
o3_lag_1h,target_pm25_3h,absolute_pearson,0.08217331478660594,-0.08217331478660594,1569,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
o3_lag_15m,target_pm25_3h,absolute_pearson,0.08176744666211805,-0.08176744666211805,1569,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
o3_mean_3h,target_pm25_3h,absolute_pearson,0.07469344298911135,-0.07469344298911135,1576,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
humidity_std_3h,target_pm25_3h,absolute_pearson,0.07041458424829035,-0.07041458424829035,5405,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
temperature_std_3h,target_pm25_3h,absolute_pearson,0.0643087057770599,-0.0643087057770599,5405,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_delta_15m,target_pm25_3h,absolute_pearson,0.060650847445020195,0.060650847445020195,5379,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
o3_lag_3h,target_pm25_3h,absolute_pearson,0.019321684509228745,-0.019321684509228745,1570,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
temperature_lag_3h,target_pm25_3h,absolute_pearson,0.012648326142631719,0.012648326142631719,5383,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
recent_anomaly_count_3h,target_pm25_3h,absolute_pearson,0.011882043564829966,-0.011882043564829966,5405,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_cv_6h,target_pm25_3h,absolute_pearson,0.0035758036772456803,-0.0035758036772456803,5405,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
minute,target_pm25_3h,absolute_pearson,0.0019463025860199782,0.0019463025860199782,5405,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25,target_pm25_3h,mutual_information,0.5280694429757729,,2703,Nonlinear screening only; final selection must use training folds.
pm25_min_3h,target_pm25_3h,mutual_information,0.5113944226541003,,2703,Nonlinear screening only; final selection must use training folds.
pm25_humidity_interaction,target_pm25_3h,mutual_information,0.5015278942776247,,2703,Nonlinear screening only; final selection must use training folds.
pm25_mean_1h,target_pm25_3h,mutual_information,0.4875617005880173,,2703,Nonlinear screening only; final selection must use training folds.
pm25_lag_15m,target_pm25_3h,mutual_information,0.48069051457440093,,2690,Nonlinear screening only; final selection must use training folds.
pm25_median_3h,target_pm25_3h,mutual_information,0.4713188687897887,,2703,Nonlinear screening only; final selection must use training folds.
pm25_max_3h,target_pm25_3h,mutual_information,0.413124863368858,,2703,Nonlinear screening only; final selection must use training folds.
pm25_mean_3h,target_pm25_3h,mutual_information,0.41080633308440273,,2703,Nonlinear screening only; final selection must use training folds.
temperature_humidity_interaction,target_pm25_3h,mutual_information,0.39491926614591844,,2703,Nonlinear screening only; final selection must use training folds.
pm25_lag_1h,target_pm25_3h,mutual_information,0.39314644790803754,,2689,Nonlinear screening only; final selection must use training folds.
pm25_mean_6h,target_pm25_3h,mutual_information,0.33696641332445143,,2703,Nonlinear screening only; final selection must use training folds.
o3_mean_3h,target_pm25_3h,mutual_information,0.29935875028989756,,1576,Nonlinear screening only; final selection must use training folds.
humidity,target_pm25_3h,mutual_information,0.29670507687241443,,2703,Nonlinear screening only; final selection must use training folds.
humidity_mean_1h,target_pm25_3h,mutual_information,0.2882316359835233,,2703,Nonlinear screening only; final selection must use training folds.
humidity_lag_15m,target_pm25_3h,mutual_information,0.28223709760362414,,2690,Nonlinear screening only; final selection must use training folds.
sin_day_of_week,target_pm25_3h,mutual_information,0.2745419077964928,,2703,Nonlinear screening only; final selection must use training folds.
day_of_week,target_pm25_3h,mutual_information,0.27335904927337573,,2703,Nonlinear screening only; final selection must use training folds.
pm25_lag_3h,target_pm25_3h,mutual_information,0.2726699340879426,,2691,Nonlinear screening only; final selection must use training folds.
no2_mean_3h,target_pm25_3h,mutual_information,0.2643446321320835,,1576,Nonlinear screening only; final selection must use training folds.
humidity_mean_3h,target_pm25_3h,mutual_information,0.25255920600395765,,2703,Nonlinear screening only; final selection must use training folds.
humidity_lag_1h,target_pm25_3h,mutual_information,0.24924519115583088,,2689,Nonlinear screening only; final selection must use training folds.
no2_std_3h,target_pm25_3h,mutual_information,0.22748397301237278,,1576,Nonlinear screening only; final selection must use training folds.
no2_mean_1h,target_pm25_3h,mutual_information,0.21980724936112583,,1576,Nonlinear screening only; final selection must use training folds.
o3_mean_1h,target_pm25_3h,mutual_information,0.2154719052144669,,1576,Nonlinear screening only; final selection must use training folds.
hour,target_pm25_3h,mutual_information,0.204608892519079,,2703,Nonlinear screening only; final selection must use training folds.
o3_lag_1h,target_pm25_3h,mutual_information,0.18142989947810761,,1569,Nonlinear screening only; final selection must use training folds.
pm25_lag_6h,target_pm25_3h,mutual_information,0.1798673504442716,,2703,Nonlinear screening only; final selection must use training folds.
humidity_lag_3h,target_pm25_3h,mutual_information,0.17855152010835784,,2691,Nonlinear screening only; final selection must use training folds.
o3_lag_3h,target_pm25_3h,mutual_information,0.16988815578364402,,1570,Nonlinear screening only; final selection must use training folds.
temperature,target_pm25_3h,mutual_information,0.15766419486055394,,2703,Nonlinear screening only; final selection must use training folds.
temperature_mean_3h,target_pm25_3h,mutual_information,0.14739456979132193,,2703,Nonlinear screening only; final selection must use training folds.
temperature_mean_1h,target_pm25_3h,mutual_information,0.14393723804974723,,2703,Nonlinear screening only; final selection must use training folds.
temperature_lag_1h,target_pm25_3h,mutual_information,0.13705195262753556,,2690,Nonlinear screening only; final selection must use training folds.
temperature_lag_15m,target_pm25_3h,mutual_information,0.13624167815591992,,2690,Nonlinear screening only; final selection must use training folds.
no2_lag_15m,target_pm25_3h,mutual_information,0.13567775955772898,,1569,Nonlinear screening only; final selection must use training folds.
pm25_std_6h,target_pm25_3h,mutual_information,0.134951514006465,,2703,Nonlinear screening only; final selection must use training folds.
o3,target_pm25_3h,mutual_information,0.13196854545886083,,1576,Nonlinear screening only; final selection must use training folds.
o3_lag_15m,target_pm25_3h,mutual_information,0.1303544284185909,,1569,Nonlinear screening only; final selection must use training folds.
cos_day_of_week,target_pm25_3h,mutual_information,0.12318858951811018,,2703,Nonlinear screening only; final selection must use training folds.
pm25_range_3h,target_pm25_3h,mutual_information,0.11953992087796461,,2703,Nonlinear screening only; final selection must use training folds.
o3_std_3h,target_pm25_3h,mutual_information,0.11389173830356025,,1576,Nonlinear screening only; final selection must use training folds.
pm25_delta_3h,target_pm25_3h,mutual_information,0.11193617744539619,,2691,Nonlinear screening only; final selection must use training folds.
pm25_slope_3h,target_pm25_3h,mutual_information,0.11193617744539619,,2691,Nonlinear screening only; final selection must use training folds.
no2,target_pm25_3h,mutual_information,0.11016710032331156,,1576,Nonlinear screening only; final selection must use training folds.
temperature_lag_3h,target_pm25_3h,mutual_information,0.10906614642640111,,2692,Nonlinear screening only; final selection must use training folds.
no2_lag_1h,target_pm25_3h,mutual_information,0.10904131511725401,,1569,Nonlinear screening only; final selection must use training folds.
cos_hour,target_pm25_3h,mutual_information,0.10262672057499733,,2703,Nonlinear screening only; final selection must use training folds.
pm25_std_3h,target_pm25_3h,mutual_information,0.09619441962295294,,2703,Nonlinear screening only; final selection must use training folds.
sin_hour,target_pm25_3h,mutual_information,0.09479842416352913,,2703,Nonlinear screening only; final selection must use training folds.
no2_lag_3h,target_pm25_3h,mutual_information,0.08250242573899547,,1570,Nonlinear screening only; final selection must use training folds.
pm25_std_1h,target_pm25_3h,mutual_information,0.07686657963986665,,2703,Nonlinear screening only; final selection must use training folds.
pm25_cv_6h,target_pm25_3h,mutual_information,0.07580094677039284,,2703,Nonlinear screening only; final selection must use training folds.
pm25_delta_1h,target_pm25_3h,mutual_information,0.06456622826421121,,2689,Nonlinear screening only; final selection must use training folds.
pm25_pct_change_1h,target_pm25_3h,mutual_information,0.044206985000882604,,2689,Nonlinear screening only; final selection must use training folds.
pm25_delta_15m,target_pm25_3h,mutual_information,0.029656897158671036,,2690,Nonlinear screening only; final selection must use training folds.
temperature_std_3h,target_pm25_3h,mutual_information,0.027075094502385433,,2703,Nonlinear screening only; final selection must use training folds.
humidity_std_3h,target_pm25_3h,mutual_information,0.02700955672915395,,2703,Nonlinear screening only; final selection must use training folds.
recent_anomaly_count_3h,target_pm25_3h,mutual_information,0.020423725520187563,,2703,Nonlinear screening only; final selection must use training folds.
minute,target_pm25_3h,mutual_information,0.0021479330270666175,,2703,Nonlinear screening only; final selection must use training folds.
pm25,target_pm25_6h,absolute_pearson,0.5137302538083333,0.5137302538083333,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_mean_1h,target_pm25_6h,absolute_pearson,0.49563341738065736,0.49563341738065736,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_lag_15m,target_pm25_6h,absolute_pearson,0.49398097036076843,0.49398097036076843,5324,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
