row_index,timestamp,city,sensor_id,feature,value,previous_value,absolute_change,relative_change,flag,reason,rate_per_hour,robust_threshold,robust_strength
1020,2026-08-16T16:15:00Z,Tulkarem,1,o3,-2.07,0.52,2.59,4.98076923076923,POSSIBLE_SENSOR_ERROR,Value is outside broad physical plausibility bounds.,,,
1020,2026-08-16T16:15:00Z,Tulkarem,1,temperature,27.03,28.81,1.7799999999999976,0.06178410274210336,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,7.11999999999999,1.3260817748044569,1.3423003270386362
1021,2026-08-16T16:30:00Z,Tulkarem,1,o3,-0.77,-2.07,1.2999999999999998,0.6280193236714976,POSSIBLE_SENSOR_ERROR,Value is outside broad physical plausibility bounds.,,,
1022,2026-08-16T16:45:00Z,Tulkarem,1,o3,-2.32,-0.77,1.5499999999999998,2.0129870129870127,POSSIBLE_SENSOR_ERROR,Value is outside broad physical plausibility bounds.,,,
2648,2026-08-17T03:45:00Z,Nablus,2,aqi,132.0,86.0,46.0,0.5348837209302325,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,184.0,26.721635496089633,1.7214515184421069
2648,2026-08-17T03:45:00Z,Nablus,2,pm25,23.76,15.54,8.220000000000002,0.5289575289575291,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,32.88000000000001,5.077110744257018,1.6190310619672947
2649,2026-08-17T04:00:00Z,Nablus,2,aqi,88.0,132.0,44.0,0.3333333333333333,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,176.0,26.721635496089633,1.6466058002489719
2649,2026-08-17T04:00:00Z,Nablus,2,pm25,15.75,23.76,8.010000000000002,0.33712121212121215,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,32.040000000000006,5.077110744257018,1.5776689545447726
1074,2026-08-17T05:45:00Z,Tulkarem,1,aqi,71.0,106.0,35.0,0.330188679245283,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,140.0,26.721635496089633,1.3098000683798638
1074,2026-08-17T05:45:00Z,Tulkarem,1,pm25,12.84,19.02,6.18,0.3249211356466877,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,24.72,4.414069856854811,1.4000684629861024
5100,2026-08-17T10:15:00Z,Nablus,5,humidity,31.28,22.28,9.0,0.40394973070017953,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,0.047058823529411764,7.145537495203975,1.2595273632026598
5100,2026-08-17T10:15:00Z,Nablus,5,temperature,42.15,48.07,5.920000000000002,0.12315373413771587,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,0.03095424836601308,2.820075815829654,2.099234342130041
1114,2026-08-17T15:45:00Z,Tulkarem,1,no2,12.13,11.98,0.15000000000000036,0.012520868113522567,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,0.6000000000000014,0.1286081774804454,1.1663332996286924
1114,2026-08-17T15:45:00Z,Tulkarem,1,temperature,27.93,30.19,2.2600000000000016,0.07485922490891028,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,9.040000000000006,1.3260817748044569,1.7042689545546763
4295,2026-08-17T16:15:00Z,Nablus,4,temperature,35.01,37.25,2.240000000000002,0.06013422818791952,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,8.960000000000008,2.1177308396871712,1.0577359303748404
4296,2026-08-17T16:30:00Z,Nablus,4,temperature,32.36,35.01,2.6499999999999986,0.07569265924021705,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,10.599999999999994,2.1177308396871712,1.251339381916662
2721,2026-08-17T22:00:00Z,Nablus,2,aqi,133.0,103.0,30.0,0.2912621359223301,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,120.0,26.721635496089633,1.1226857728970263
2721,2026-08-17T22:00:00Z,Nablus,2,pm25,23.91,18.48,5.43,0.29383116883116883,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,21.72,5.077110744257018,1.0695059204966433
1166,2026-08-18T04:45:00Z,Tulkarem,1,aqi,108.0,136.0,28.0,0.20588235294117646,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,112.0,26.721635496089633,1.047840054703891
1166,2026-08-18T04:45:00Z,Tulkarem,1,pm25,19.52,24.44,4.920000000000002,0.2013093289689035,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,19.680000000000007,4.414069856854811,1.1146176113093247
1188,2026-08-18T10:15:00Z,Tulkarem,1,temperature,28.4,29.74,1.3399999999999999,0.04505716207128446,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,5.359999999999999,1.3260817748044569,1.0104957518156037
1207,2026-08-18T15:00:00Z,Tulkarem,1,temperature,31.69,29.99,1.7000000000000028,0.05668556185395141,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,6.800000000000011,1.3260817748044569,1.281972222452634
1211,2026-08-18T16:00:00Z,Tulkarem,1,temperature,28.69,30.17,1.4800000000000004,0.04905535299966856,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,5.920000000000002,1.3260817748044569,1.1160699348411152
4390,2026-08-18T16:00:00Z,Nablus,4,temperature,39.85,42.26,2.4099999999999966,0.05702792238523419,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,9.639999999999986,2.1177308396871712,1.1380105322336427
1212,2026-08-18T16:15:00Z,Tulkarem,1,humidity,50.82,46.08,4.740000000000002,0.10286458333333338,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,18.960000000000008,4.23546167937435,1.1191223906198065
1212,2026-08-18T16:15:00Z,Tulkarem,1,temperature,26.48,28.69,2.210000000000001,0.07703032415475779,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,8.840000000000003,1.3260817748044569,1.666563889188422
4391,2026-08-18T16:15:00Z,Nablus,4,temperature,37.41,39.85,2.440000000000005,0.06122961104140539,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,9.76000000000002,2.1177308396871712,1.1521766384440237
4392,2026-08-18T16:30:00Z,Nablus,4,temperature,35.11,37.41,2.299999999999997,0.06148088746324505,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,9.199999999999989,2.1177308396871712,1.0860681427955927
1239,2026-08-18T23:00:00Z,Tulkarem,1,aqi,132.0,104.0,28.0,0.2692307692307692,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,112.0,26.721635496089633,1.047840054703891
1239,2026-08-18T23:00:00Z,Tulkarem,1,pm25,23.73,18.78,4.949999999999999,0.2635782747603833,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,19.799999999999997,4.414069856854811,1.1214140601587712
5260,2026-08-19T02:15:00Z,Nablus,5,aqi,164.0,133.0,31.0,0.23308270676691728,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,124.0,26.721635496089633,1.1601086319935938
5260,2026-08-19T02:15:00Z,Nablus,5,pm25,29.61,23.96,5.649999999999999,0.2358096828046744,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,22.599999999999994,5.413631187958153,1.043661787040021
5262,2026-08-19T02:45:00Z,Nablus,5,aqi,153.0,183.0,30.0,0.16393442622950818,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,120.0,26.721635496089633,1.1226857728970263
5263,2026-08-19T03:00:00Z,Nablus,5,aqi,114.0,153.0,39.0,0.2549019607843137,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,156.0,26.721635496089633,1.459491504766134
5263,2026-08-19T03:00:00Z,Nablus,5,pm25,20.55,27.61,7.059999999999999,0.2557044549076421,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,28.239999999999995,5.413631187958153,1.3041154365491239
5268,2026-08-19T04:15:00Z,Nablus,5,aqi,84.0,114.0,30.0,0.2631578947368421,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,120.0,26.721635496089633,1.1226857728970263
5299,2026-08-19T12:00:00Z,Nablus,5,aqi,72.0,100.0,28.0,0.28,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,112.0,26.721635496089633,1.047840054703891
1303,2026-08-19T15:00:00Z,Tulkarem,1,temperature,30.43,29.0,1.4299999999999997,0.0493103448275862,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,5.719999999999999,1.3260817748044569,1.0783648694748607
1307,2026-08-19T16:15:00Z,Tulkarem,1,humidity,52.11,44.56,7.549999999999997,0.16943447037701967,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,15.099999999999994,4.23546167937435,1.7825683648058084
1307,2026-08-19T16:15:00Z,Tulkarem,1,no2,12.21,12.08,0.13000000000000078,0.010761589403973575,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,0.26000000000000156,0.1286081774804454,1.010822193011537
1307,2026-08-19T16:15:00Z,Tulkarem,1,temperature,25.73,29.25,3.5199999999999996,0.12034188034188033,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,7.039999999999999,1.3260817748044569,2.6544366017842727
2889,2026-08-19T16:15:00Z,Nablus,2,temperature,32.23,34.0,1.7700000000000031,0.05205882352941186,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,3.5400000000000063,1.7519063072458572,1.0103280025189194
4486,2026-08-19T16:15:00Z,Nablus,4,temperature,40.8,44.47,3.6700000000000017,0.08252754666067015,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,7.340000000000003,2.1177308396871712,1.732986993069492
4487,2026-08-19T16:30:00Z,Nablus,4,temperature,37.29,40.8,3.509999999999998,0.08602941176470584,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,14.039999999999992,2.1177308396871712,1.6574344266141448
4488,2026-08-19T16:45:00Z,Nablus,4,temperature,34.64,37.29,2.6499999999999986,0.07106462858675244,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,10.599999999999994,2.1177308396871712,1.251339381916662
5320,2026-08-19T17:30:00Z,Nablus,5,aqi,96.0,66.0,30.0,0.45454545454545453,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,120.0,26.721635496089633,1.1226857728970263
5320,2026-08-19T17:30:00Z,Nablus,5,pm25,17.34,11.91,5.43,0.4559193954659949,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,21.72,5.413631187958153,1.003023628960587
5321,2026-08-19T17:45:00Z,Nablus,5,aqi,63.0,96.0,33.0,0.34375,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,132.0,26.721635496089633,1.2349543501867288
5321,2026-08-19T17:45:00Z,Nablus,5,pm25,11.31,17.34,6.029999999999999,0.34775086505190306,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,24.119999999999997,5.413631187958153,1.1138549691772264
1340,2026-08-20T00:30:00Z,Tulkarem,1,aqi,124.0,76.0,48.0,0.631578947368421,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,192.0,26.721635496089633,1.7962972366352419
1340,2026-08-20T00:30:00Z,Tulkarem,1,pm25,48.39,13.67,34.72,2.5398683247988294,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,138.88,4.414069856854811,7.865756801760109
1341,2026-08-20T00:45:00Z,Tulkarem,1,aqi,79.0,124.0,45.0,0.3629032258064516,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,180.0,26.721635496089633,1.6840286593455394
1341,2026-08-20T00:45:00Z,Tulkarem,1,pm25,14.33,48.39,34.06,0.7038644348005787,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,136.24,4.414069856854811,7.716234927072274
5350,2026-08-20T01:00:00Z,Nablus,5,pm25,41.52,16.27,25.250000000000004,1.5519360786724035,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,101.00000000000001,5.413631187958153,4.66415223411691
5351,2026-08-20T01:15:00Z,Nablus,5,aqi,189.0,111.0,78.0,0.7027027027027027,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,312.0,26.721635496089633,2.918983009532268
5351,2026-08-20T01:15:00Z,Nablus,5,pm25,33.97,41.52,7.550000000000004,0.18184007707129105,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,30.200000000000017,5.413631187958153,1.3946276977260472
5353,2026-08-20T01:45:00Z,Nablus,5,aqi,94.0,186.0,92.0,0.4946236559139785,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,368.0,26.721635496089633,3.4429030368842137
5353,2026-08-20T01:45:00Z,Nablus,5,pm25,17.03,33.45,16.42,0.490881913303438,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,65.68,5.413631187958153,3.0330843439287
1349,2026-08-20T02:45:00Z,Tulkarem,1,pm25,17.93,13.28,4.65,0.3501506024096386,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,18.6,4.414069856854811,1.0534495716643004
1350,2026-08-20T03:00:00Z,Tulkarem,1,pm25,13.42,17.93,4.51,0.25153374233128833,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,18.04,4.414069856854811,1.0217328103668806
5359,2026-08-20T03:15:00Z,Nablus,5,pm25,40.86,16.93,23.93,1.4134672179562906,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,95.72,5.413631187958153,4.420323285640303
5360,2026-08-20T03:30:00Z,Nablus,5,pm25,19.4,40.86,21.46,0.5252080274106706,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,85.84,5.413631187958153,3.964067601748471
5361,2026-08-20T03:45:00Z,Nablus,5,aqi,179.0,108.0,71.0,0.6574074074074074,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,284.0,26.721635496089633,2.657022995856295
5361,2026-08-20T03:45:00Z,Nablus,5,pm25,32.19,19.4,12.79,0.6592783505154639,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,51.16,5.413631187958153,2.3625547356180308
5362,2026-08-20T04:00:00Z,Nablus,5,aqi,83.0,179.0,96.0,0.5363128491620112,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,384.0,26.721635496089633,3.5925944732704838
5362,2026-08-20T04:00:00Z,Nablus,5,pm25,14.88,32.19,17.309999999999995,0.537744641192917,SUSPICIOUS,Sensor-specific sudden change exceeds both robust MAD and IQR criteria.,69.23999999999998,5.413631187958153,3.197484165250047
