scope_type,scope_value,feature,count,mean,median,variance,std,min,max,q1,q3,iqr,p01,p05,p10,p25,p50,p75,p90,p95,p99,skewness,kurtosis,coefficient_of_variation,estimated_modes
global,All sensors,pm25,5635,19.31470097604259,17.63,60.21290929555283,7.759697758002745,5.02,96.88,13.63,23.36,9.729999999999999,7.2468,9.56,11.064,13.63,17.63,23.36,30.55,35.056000000000004,41.5098,1.1435781121237716,2.582923421089668,0.4017508615653773,1
global,All sensors,temperature,5636,31.449378992193047,30.25,29.813971646224076,5.460217179400841,22.48,51.41,28.1475,33.9725,5.824999999999996,23.2805,24.3,25.07,28.1475,30.25,33.9725,38.805,43.1825,48.466499999999996,1.093869650602253,1.1576867155863004,0.1736192368299634,1
global,All sensors,humidity,5635,52.13871872227151,54.56,180.46280457031855,13.433644500667663,19.61,78.32,42.78,62.94,20.159999999999997,23.1442,27.277,31.614,42.78,54.56,62.94,67.806,70.586,74.77939999999998,-0.42808185630518436,-0.7850857381992196,0.25765198742656026,2
global,All sensors,no2,1628,12.065921375921375,12.08,0.0033968764204781385,0.058282728320473626,11.84,12.38,12.03,12.1,0.07000000000000028,11.92,11.98,11.99,12.03,12.08,12.1,12.12,12.14,12.24,0.35972875993897674,3.2922711734963133,0.004830358702384885,1
global,All sensors,o3,1628,55.20770884520885,56.375,197.19061226428556,14.0424574866469,-2.32,94.02,47.252500000000005,64.025,16.7725,13.254199999999999,31.975,36.400999999999996,47.252500000000005,56.375,64.025,72.232,77.64249999999998,84.8292,-0.5109498175001156,0.8822749363367035,0.25435682408083776,1
global,All sensors,aqi,5636,102.1194109297374,98.0,1256.9243365473446,35.45312872719902,11.0,637.0,76.0,124.0,48.0,40.0,53.0,61.5,76.0,98.0,124.0,152.0,171.0,191.0,1.151592652535444,8.861795515511794,0.34717325926989845,1
city,Nablus,pm25,4008,19.93512724550898,17.9,68.9732648203406,8.305014438298143,6.78,96.88,13.45,24.7825,11.3325,8.4807,10.02,11.09,13.45,17.9,24.7825,32.459,36.18,42.32459999999997,1.0760486917937888,2.0236915118119265,0.4166020279689517,1
city,Nablus,temperature,4008,33.29541666666667,31.945,27.164357300765328,5.211943716193156,26.08,51.41,29.32,35.77,6.450000000000003,26.7307,27.56,28.21,29.32,31.945,35.77,41.696000000000005,44.49599999999998,48.96,1.1934869613780383,0.8778617386974159,0.15653637160849934,1
city,Nablus,humidity,4008,51.69121506986028,53.73,224.21185215438229,14.973705358206509,19.61,78.32,39.295,64.6325,25.33749999999999,22.59,25.8005,29.127,39.295,53.73,64.6325,69.216,72.07249999999999,75.3179,-0.3454518288624611,-1.1029457784867869,0.28967601821643507,3
city,Nablus,aqi,4008,103.72554890219561,99.0,1303.9046927358163,36.10962050113261,38.0,252.0,74.0,126.0,52.0,47.0,56.0,62.0,74.0,99.0,126.0,158.0,176.0,192.0,0.6282783096922293,-0.31126831790741294,0.3481265790666571,1
city,Tulkarem,pm25,1627,17.786324523663183,16.97,35.37533752807596,5.947717001343958,5.02,59.44,14.2,21.435000000000002,7.235000000000003,5.8056,8.036,10.830000000000002,14.2,16.97,21.435000000000002,24.484000000000005,27.654999999999994,34.559400000000004,0.8628514577138938,3.165014764571831,0.33439831784419705,1
city,Tulkarem,temperature,1628,26.90458845208845,25.975,7.294978625853041,2.700921810392341,22.48,33.76,24.64,29.55,4.91,22.855400000000003,23.47,23.867,24.64,25.975,29.55,30.703,31.2,32.531099999999995,0.40505926897986644,-1.192534837588651,0.1003888914785717,2
city,Tulkarem,humidity,1627,53.24111247695145,55.53,71.05206745782085,8.429238842138764,29.04,67.08,45.55,60.74,15.190000000000005,35.1252,39.876,42.196,45.55,55.53,60.74,62.78,63.784,65.5548,-0.3882933058733625,-1.0898030496655333,0.15832198934212457,2
city,Tulkarem,no2,1628,12.065921375921375,12.08,0.0033968764204781385,0.058282728320473626,11.84,12.38,12.03,12.1,0.07000000000000028,11.92,11.98,11.99,12.03,12.08,12.1,12.12,12.14,12.24,0.35972875993897674,3.2922711734963133,0.004830358702384885,1
city,Tulkarem,o3,1628,55.20770884520885,56.375,197.19061226428556,14.0424574866469,-2.32,94.02,47.252500000000005,64.025,16.7725,13.254199999999999,31.975,36.400999999999996,47.252500000000005,56.375,64.025,72.232,77.64249999999998,84.8292,-0.5109498175001156,0.8822749363367035,0.25435682408083776,1
city,Tulkarem,aqi,1628,98.16523341523342,94.0,1119.9929638668111,33.466295938851836,11.0,637.0,79.0,119.0,40.0,32.0,44.0,59.70000000000002,79.0,94.0,119.0,135.29999999999995,151.0,182.46000000000004,2.7438084156012335,40.6787594770374,0.34091800910095416,1
sensor,1,pm25,1627,17.786324523663183,16.97,35.37533752807596,5.947717001343958,5.02,59.44,14.2,21.435000000000002,7.235000000000003,5.8056,8.036,10.830000000000002,14.2,16.97,21.435000000000002,24.484000000000005,27.654999999999994,34.559400000000004,0.8628514577138938,3.165014764571831,0.33439831784419705,1
sensor,1,temperature,1628,26.90458845208845,25.975,7.294978625853041,2.700921810392341,22.48,33.76,24.64,29.55,4.91,22.855400000000003,23.47,23.867,24.64,25.975,29.55,30.703,31.2,32.531099999999995,0.40505926897986644,-1.192534837588651,0.1003888914785717,2
sensor,1,humidity,1627,53.24111247695145,55.53,71.05206745782085,8.429238842138764,29.04,67.08,45.55,60.74,15.190000000000005,35.1252,39.876,42.196,45.55,55.53,60.74,62.78,63.784,65.5548,-0.3882933058733625,-1.0898030496655333,0.15832198934212457,2
sensor,1,no2,1628,12.065921375921375,12.08,0.0033968764204781385,0.058282728320473626,11.84,12.38,12.03,12.1,0.07000000000000028,11.92,11.98,11.99,12.03,12.08,12.1,12.12,12.14,12.24,0.35972875993897674,3.2922711734963133,0.004830358702384885,1
sensor,1,o3,1628,55.20770884520885,56.375,197.19061226428556,14.0424574866469,-2.32,94.02,47.252500000000005,64.025,16.7725,13.254199999999999,31.975,36.400999999999996,47.252500000000005,56.375,64.025,72.232,77.64249999999998,84.8292,-0.5109498175001156,0.8822749363367035,0.25435682408083776,1
sensor,1,aqi,1628,98.16523341523342,94.0,1119.9929638668111,33.466295938851836,11.0,637.0,79.0,119.0,40.0,32.0,44.0,59.70000000000002,79.0,94.0,119.0,135.29999999999995,151.0,182.46000000000004,2.7438084156012335,40.6787594770374,0.34091800910095416,1
sensor,2,pm25,1582,20.519917825537295,18.405,70.08722270039047,8.37181119593547,8.34,50.79,13.7225,25.2175,11.495000000000001,9.24,10.650500000000001,11.600999999999999,13.7225,18.405,25.2175,33.33800000000001,36.62799999999999,43.543000000000035,0.923876422260267,0.23655115558342343,0.4079846355679186,1
sensor,2,temperature,1582,31.76510745891277,31.45,8.84219173417583,2.973582306608618,26.32,38.89,29.2,34.3275,5.127500000000001,26.866200000000003,27.650499999999997,28.231,29.2,31.45,34.3275,36.029,36.68,38.01,0.2989486715839358,-1.0661760096177366,0.09361159286033768,3
sensor,2,humidity,1582,54.299589127686474,54.724999999999994,195.0089414503055,13.96456019537692,22.04,78.32,45.205,66.4375,21.2325,24.8429,27.866500000000002,32.656,45.205,54.724999999999994,66.4375,71.429,73.449,76.2976,-0.39372536213733433,-0.7891522741863093,0.2571761668866223,3
sensor,2,aqi,1582,106.24525916561315,101.0,1295.4957871244414,35.99299636213192,46.0,196.0,76.0,128.0,52.0,51.0,59.0,64.0,76.0,101.0,128.0,163.0,177.0,193.0,0.6395685817689504,-0.38276876075086896,0.3387727287297281,2
sensor,4,pm25,1597,18.610907952410773,16.28,65.72390450092043,8.107028093014137,6.78,51.6,12.2,23.63,11.43,8.1296,9.197999999999999,10.156,12.2,16.28,23.63,31.322000000000006,35.31,40.712799999999994,0.9432041057302571,0.2029873543612215,0.43560626454895707,1
sensor,4,temperature,1597,34.63621790857859,32.87,35.24155861915276,5.93646010844449,26.31,51.41,30.07,37.93,7.859999999999999,26.7196,27.785999999999998,28.7,30.07,32.87,37.93,44.40200000000001,47.31999999999998,49.410399999999996,0.9492906221136425,-0.03401524131173428,0.1713945825180343,1
sensor,4,humidity,1597,49.05527238572323,50.74,247.45223584367935,15.730614604766062,19.9,75.79,34.37,63.53,29.160000000000004,21.4868,24.096,26.258,34.37,50.74,63.53,67.94200000000001,71.05799999999998,74.14039999999999,-0.17245566704128162,-1.3308931751022943,0.32067123144431287,3
sensor,4,aqi,1597,98.04383218534753,91.0,1380.4504584881115,37.154413714767614,38.0,196.0,68.0,121.0,53.0,45.0,51.0,57.0,68.0,91.0,121.0,153.0,174.0,190.0,0.7094985554309438,-0.33937016104288054,0.37895717544504826,1
sensor,5,pm25,829,21.37015681544029,19.3,67.17875734252898,8.196264840921685,8.54,96.88,15.65,25.75,10.1,9.4928,11.45,12.956000000000001,15.65,19.3,25.75,33.778000000000006,36.471999999999994,41.42480000000001,1.748799984142193,8.900893908450682,0.38353788938973765,1
sensor,5,temperature,829,33.632798552472856,30.6,38.58983153062592,6.212071436374981,26.08,50.04,28.64,39.39,10.75,26.607999999999997,27.268,27.694,28.64,30.6,39.39,43.454,44.556,48.00840000000001,0.7834829677503928,-0.8229164523226875,0.18470278132469706,2
sensor,5,humidity,829,51.79151990349819,57.16,209.30683730062995,14.467440592607593,19.61,69.91,37.42,64.67,27.25,22.674,27.866,30.738,37.42,57.16,64.67,67.416,68.518,69.5472,-0.48868885386449623,-1.2376147214609265,0.27933995023827074,1
sensor,5,aqi,829,109.86248492159228,103.0,1063.4641585520064,32.61079818943422,47.0,252.0,87.0,129.0,42.0,53.0,63.0,72.0,87.0,103.0,129.0,156.0,176.0,192.0,0.6742505187534047,0.16851829856131584,0.2968328835153165,1
