row_index,timestamp,sensor_id,city,feature,value,zscore_flag,mad_flag,iqr_flag,rolling_zscore_flag,isolation_forest_flag,lof_flag,anomaly_methods_triggered,methods,quality_flag,analytical_category
4085,2026-08-15T11:45:00Z,4,Nablus,temperature,42.98,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4086,2026-08-15T12:00:00Z,4,Nablus,temperature,43.4,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4087,2026-08-15T12:15:00Z,4,Nablus,temperature,45.29,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4088,2026-08-15T12:30:00Z,4,Nablus,temperature,46.53,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4089,2026-08-15T12:45:00Z,4,Nablus,temperature,47.05,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4090,2026-08-15T13:00:00Z,4,Nablus,temperature,47.19,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4091,2026-08-15T13:15:00Z,4,Nablus,temperature,47.28,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4092,2026-08-15T13:30:00Z,4,Nablus,temperature,47.06,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4093,2026-08-15T13:45:00Z,4,Nablus,temperature,46.09,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4094,2026-08-15T14:00:00Z,4,Nablus,temperature,44.13,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4095,2026-08-15T14:15:00Z,4,Nablus,temperature,43.08,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4096,2026-08-15T14:30:00Z,4,Nablus,temperature,41.84,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
918,2026-08-15T14:45:00Z,1,Tulkarem,no2,11.9,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4097,2026-08-15T14:45:00Z,4,Nablus,temperature,43.16,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
919,2026-08-15T15:00:00Z,1,Tulkarem,pm25,15.16,False,False,False,False,False,True,1,lof,SUSPICIOUS,MULTIVARIATE_ANOMALY
919,2026-08-15T15:00:00Z,1,Tulkarem,temperature,33.09,False,False,False,False,False,True,1,lof,SUSPICIOUS,MULTIVARIATE_ANOMALY
919,2026-08-15T15:00:00Z,1,Tulkarem,humidity,41.84,False,False,False,False,False,True,1,lof,SUSPICIOUS,MULTIVARIATE_ANOMALY
919,2026-08-15T15:00:00Z,1,Tulkarem,o3,55.1,False,False,False,False,False,True,1,lof,SUSPICIOUS,MULTIVARIATE_ANOMALY
919,2026-08-15T15:00:00Z,1,Tulkarem,aqi,84.0,False,False,False,False,False,True,1,lof,SUSPICIOUS,MULTIVARIATE_ANOMALY
4098,2026-08-15T15:00:00Z,4,Nablus,temperature,44.71,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
920,2026-08-15T15:15:00Z,1,Tulkarem,no2,11.92,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4099,2026-08-15T15:15:00Z,4,Nablus,temperature,44.75,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4100,2026-08-15T15:30:00Z,4,Nablus,temperature,44.0,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
4101,2026-08-15T15:45:00Z,4,Nablus,temperature,42.78,False,False,False,True,False,False,1,rolling_zscore,NORMAL,UNCERTAIN
924,2026-08-15T16:15:00Z,1,Tulkarem,no2,12.22,False,False,False,True,False,False,1,rolling_zscore,SUSPICIOUS,UNCERTAIN
986,2026-08-16T07:45:00Z,1,Tulkarem,pm25,24.19,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
986,2026-08-16T07:45:00Z,1,Tulkarem,temperature,29.19,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
986,2026-08-16T07:45:00Z,1,Tulkarem,humidity,46.57,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
986,2026-08-16T07:45:00Z,1,Tulkarem,no2,12.26,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
986,2026-08-16T07:45:00Z,1,Tulkarem,o3,28.27,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
986,2026-08-16T07:45:00Z,1,Tulkarem,aqi,134.0,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
991,2026-08-16T09:00:00Z,1,Tulkarem,pm25,22.69,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
991,2026-08-16T09:00:00Z,1,Tulkarem,temperature,30.47,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
991,2026-08-16T09:00:00Z,1,Tulkarem,humidity,44.55,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
991,2026-08-16T09:00:00Z,1,Tulkarem,o3,23.87,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
991,2026-08-16T09:00:00Z,1,Tulkarem,aqi,126.0,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
992,2026-08-16T09:15:00Z,1,Tulkarem,pm25,25.38,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
992,2026-08-16T09:15:00Z,1,Tulkarem,temperature,29.65,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
992,2026-08-16T09:15:00Z,1,Tulkarem,humidity,46.7,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
992,2026-08-16T09:15:00Z,1,Tulkarem,o3,18.69,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
992,2026-08-16T09:15:00Z,1,Tulkarem,aqi,141.0,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
993,2026-08-16T09:30:00Z,1,Tulkarem,pm25,24.39,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
993,2026-08-16T09:30:00Z,1,Tulkarem,temperature,30.0,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
993,2026-08-16T09:30:00Z,1,Tulkarem,humidity,46.43,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
993,2026-08-16T09:30:00Z,1,Tulkarem,o3,8.86,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
993,2026-08-16T09:30:00Z,1,Tulkarem,aqi,136.0,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
994,2026-08-16T09:45:00Z,1,Tulkarem,pm25,23.33,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
994,2026-08-16T09:45:00Z,1,Tulkarem,temperature,29.83,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
994,2026-08-16T09:45:00Z,1,Tulkarem,humidity,46.7,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
994,2026-08-16T09:45:00Z,1,Tulkarem,o3,4.45,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
994,2026-08-16T09:45:00Z,1,Tulkarem,aqi,129.0,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
995,2026-08-16T10:00:00Z,1,Tulkarem,pm25,24.04,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
995,2026-08-16T10:00:00Z,1,Tulkarem,temperature,29.82,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
995,2026-08-16T10:00:00Z,1,Tulkarem,humidity,47.29,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
995,2026-08-16T10:00:00Z,1,Tulkarem,o3,7.66,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
995,2026-08-16T10:00:00Z,1,Tulkarem,aqi,133.0,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
996,2026-08-16T10:15:00Z,1,Tulkarem,pm25,23.81,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
