sensor_id,city,feature,lag_minutes,lag,autocorrelation,absolute_autocorrelation,pacf,n_observations
4,Nablus,humidity,15,15 min,0.9958952384050136,0.9958952384050136,0.9952526881459676,1589
5,Nablus,humidity,15,15 min,0.9955070663941495,0.9955070663941495,0.9926696883342743,822
5,Nablus,temperature,15,15 min,0.9953180266341509,0.9953180266341509,0.9928238658810473,822
4,Nablus,temperature,15,15 min,0.9945288829818083,0.9945288829818083,0.9939067111801949,1589
2,Nablus,humidity,15,15 min,0.9944938887146593,0.9944938887146593,0.9935423973759899,1575
1,Tulkarem,humidity,15,15 min,0.9916069317294125,0.9916069317294125,0.9906537712694501,1618
2,Nablus,temperature,15,15 min,0.9913626115227914,0.9913626115227914,0.9902975436554123,1575
1,Tulkarem,temperature,15,15 min,0.9884646110766472,0.9884646110766472,0.9873478241278422,1620
2,Nablus,pm25,15,15 min,0.988108012522296,0.988108012522296,0.987404551098026,1575
4,Nablus,humidity,30,30 min,0.9859426091546774,0.9859426091546774,-0.615670051981619,1587
5,Nablus,humidity,30,30 min,0.9846977211167126,0.9846977211167126,-0.4452371113979412,820
5,Nablus,temperature,30,30 min,0.9831863579206286,0.9831863579206286,-0.5528664164405164,820
2,Nablus,humidity,30,30 min,0.9829013122928629,0.9829013122928629,-0.4760767577791775,1574
4,Nablus,temperature,30,30 min,0.9802356832277457,0.9802356832277457,-0.7476294753316189,1587
4,Nablus,pm25,15,15 min,0.9748695549852854,0.9748695549852854,0.9748429913797619,1589
2,Nablus,pm25,30,30 min,0.9747345774578164,0.9747345774578164,-0.07850257007607801,1574
1,Tulkarem,humidity,30,30 min,0.973755457717159,0.973755457717159,-0.5154980618356548,1617
2,Nablus,temperature,30,30 min,0.9724756276018182,0.9724756276018182,-0.5427369012006578,1574
5,Nablus,temperature,1440,24 h,0.969513596477016,0.969513596477016,-0.06714592651717749,635
5,Nablus,humidity,1440,24 h,0.9686545962997155,0.9686545962997155,-0.006592935200005486,635
1,Tulkarem,temperature,30,30 min,0.9655397757400462,0.9655397757400462,-0.45918262219570505,1619
4,Nablus,pm25,30,30 min,0.9580040140976238,0.9580040140976238,0.14939288368269307,1587
1,Tulkarem,temperature,1440,24 h,0.9554293273864696,0.9554293273864696,-0.17884224880126628,1525
4,Nablus,humidity,60,1 h,0.9529158082250949,0.9529158082250949,-0.11628356425753543,1585
2,Nablus,humidity,60,1 h,0.9489375611399998,0.9489375611399998,-0.11468630694460269,1572
1,Tulkarem,o3,15,15 min,0.9487093832586041,0.9487093832586041,0.9484524065865394,1620
5,Nablus,humidity,60,1 h,0.948478675208342,0.948478675208342,-0.19719557817524672,816
5,Nablus,temperature,60,1 h,0.9423774733555258,0.9423774733555258,-0.19598018353467953,816
2,Nablus,pm25,60,1 h,0.9422760258026464,0.9422760258026464,-0.08222127830248968,1572
2,Nablus,aqi,15,15 min,0.9362639115956368,0.9362639115956368,0.9351442423899715,1575
4,Nablus,temperature,60,1 h,0.9307853965848059,0.9307853965848059,-0.13290348253587214,1585
4,Nablus,aqi,15,15 min,0.9263090783024313,0.9263090783024313,0.9264098103673439,1589
4,Nablus,temperature,1440,24 h,0.9245613116535321,0.9245613116535321,-0.10672882375586584,1494
4,Nablus,pm25,60,1 h,0.923393088775829,0.923393088775829,-0.03606074203161072,1585
