feature,importance
day_of_week,0.27583117635426435
pm25_who_24h_average,0.14100882360493788
pm25_who_24h_ratio,0.08141611566363831
hour,0.07936207800206752
sin_hour,0.06369980762357495
pm25_min_3h,0.043876704439294936
cos_day_of_week,0.04222725896486557
pm25_mean_6h,0.037481191649406706
pm25,0.02596343311081809
pm25_who_24h_coverage,0.01670930704722329
pm25_max_3h,0.012877748145135006
temperature_lag_3h,0.011745218609078236
pm25_lag_6h,0.011614702214739423
temperature_humidity_interaction,0.010237354703578741
pm25_mean_1h,0.010027631805494755
pm25_std_6h,0.007241852670401429
temperature_mean_3h,0.0071918434388691865
pm25_median_3h,0.006286266996958199
pm25_humidity_interaction,0.005913683978909219
humidity_mean_3h,0.0050312652103152965
pm25_mean_3h,0.004475809213323925
temperature_std_3h,0.004283482421079186
pm25_cv_6h,0.004192702601845967
sin_day_of_week,0.004168168958963355
temperature_lag_1h,0.003833671907551647
temperature_mean_1h,0.0036851809636283756
temperature,0.0035706613700378456
pm25_lag_3h,0.0035496274903228696
cos_hour,0.0034894735594800477
humidity_lag_3h,0.0034414151293651225
pm25_range_3h,0.0033962929031864974
pm25_std_3h,0.0033009234716140094
pm25_delta_3h,0.0031505092336032814
pm25_lag_1h,0.003018321289042089
humidity_std_3h,0.0029925312720351527
o3_lag_3h,0.0029716017171432783
pm25_lag_15m,0.0029333904699947954
humidity_lag_1h,0.0027731831250790576
pm25_slope_3h,0.0027580346716014124
o3,0.0023824049064737935
temperature_lag_15m,0.0022279549902446305
o3_mean_3h,0.0022193530754708035
sensor_id,0.002171084004958223
no2_std_3h,0.0020658959007906694
humidity_mean_1h,0.001908779557836067
humidity,0.0018847052665638031
is_weekend,0.0017931566325021565
pm25_std_1h,0.0015563609686097724
no2_mean_3h,0.001531883585005494
humidity_lag_15m,0.0014573262457029468
o3_mean_1h,0.0013508756881331545
pm25_pct_change_1h,0.0012388083487149524
o3_std_3h,0.001233365721091585
o3_lag_15m,0.0010079418696327025
pm25_delta_1h,0.000997695733727892
pm25_delta_15m,0.0008323127392749463
o3_lag_1h,0.0008265400615574386
no2_mean_1h,0.0007935425302966646
no2_lag_3h,0.000550086987019069
no2,0.0005453732868383042
minute,0.0003258811498974975
no2_lag_15m,0.00029931554324387895
no2_lag_1h,0.00022318385344084312
recent_gap_count_3h,0.000192136705253783
recent_anomaly_count_3h,0.000140253242281979
current_quality_review_flag,8.277793311232299e-06
jump_flag,6.225035896277484e-06
recent_missing_pm25_count_3h,1.9898787033053513e-06
sampling_gap_flag,4.902678953490796e-07
flatline_flag,6.77057229458599e-08
suspicious_value_flag,6.260566607685587e-08
missing_flag,0.0
possible_drift_flag,0.0
